APT_CODE,APT_NAME,GOOGLE_NAME,RATING,NB_REVIEW
SCQ,SANTIAGO DE COMPOSTELA AIRPORT,Santiago-Rosalía de Castro Airport,4.2,8195
SYR,HANCOCK INTERNATIONAL AIRPORT,Syracuse Hancock International Airport,4.2,2776
KIV,CHISINAU AIRPORT,Chișinău International Airport,4.2,9442
TSF,TREVISO/SANT' ANGELO AIRPORT,Treviso Airport,3.2,8370
LEJ,LEIPZIG/HALLE AIRPORT,Leipzig/Halle Airport,4.0,5067
OLB,COSTA SMERALDA AIRPORT,Olbia Costa Smeralda Airport,4.2,6735
PSP,PALM SPRINGS INTERNATIONAL AIRPORT,Palm Springs International Airport,4.4,3149
EVN,ZVARTNOTS INTERNATIONAL AIRPORT,Zvartnots International Airport,4.1,3261
MYR,MYRTLE BEACH INTERNATIONAL AIRPORT,Myrtle Beach International Airport,4.5,5182
SUF,LAMEZIA TERME AIRPORT,Lamezia Terme International Airport,3.6,5371
SAV,HILTON HEAD INTERNATIONAL AIRPORT,Savannah/Hilton Head International Airport,4.5,3887
GSO,PIEDMONT TRIAD INTERNATIONAL AIRPORT,Piedmont Triad International Airport,4.4,1697
YYJ,VICTORIA INTERNATIONAL AIRPORT,Victoria International Airport,4.2,1658
BDS,CASALE AIRPORT,Brindisi Airport,4.1,7439
SFB,SANFORD INTERNATIONAL AIRPORT,Orlando Sanford International Airport,4.2,4391
SOU,SOUTHAMPTON AIRPORT,Southampton Airport,3.8,1197
VRN,VILLAFRANCA AIRPORT,Valerio Catullo Airport,3.4,6655
TBS,TBILISI INTERNATIONAL AIRPORT,Tbilisi International Airport,3.8,9874
MMX,STURUP AIRPORT,Malmö Airport,3.9,2160
TIA,RINAS AIRPORT,Tirana International Airport,3.6,5440
PNS,PENSACOLA INTERNATIONAL AIRPORT,Pensacola International Airport,4.3,3349
ROV,ROSTOV AIRPORT,Platov International Airport,4.4,4577
WRO,STRACHOWICE AIRPORT,Port Lotniczy Wrocław S.A.,4.3,11987
KUF,KURUMOCH INTERNATIONAL PSC AIRPORT,International Airport Kurumoch,4.5,5833
ORK,CORK INTERNATIONAL AIRPORT,Cork Airport,4.4,2813
MRV,MINERALNYE VODY AIRPORT,Международный Аэропорт Минеральные Воды имени М.Ю.Лермонтова,3.7,6140
JER,JERSEY AIRPORT,Jersey Airport,4.2,1106
YQB,JEAN LESAGE INTERNATIONAL AIRPORT,Québec City Jean Lesage International Airport,4.2,1640
KTW,PYRZOWICE AIRPORT,Międzynarodowy Port Lotniczy Katowice,3.5,16941
VVO,KNEVICHI AIRPORT,Vladivostok International Airport,4.3,3734
KHV,NOVY AIRPORT,Khabarovskiy Aeroport,4.4,4154
MSN,DANE COUNTY REGIONAL AIRPORT,Dane County Regional Airport,4.5,2323
TYS,MCGHEE TYSON AIRPORT,McGhee Tyson Airport,4.4,3875
YLW,KELOWNA INTERNATIONAL AIRPORT,Kelowna International Airport,4.1,1614
DTM,DORTMUND AIRPORT,Dortmund Airport,3.4,10898
DRS,DRESDEN AIRPORT,Dresden Airport,4.0,2615
LBB,PRESTON SMITH INTERNATIONAL AIRPORT,Lubbock Preston Smith International Airport,4.1,1096
UFA,UFA AIRPORT,Ufa International Airport,4.4,8274
SPU,SPLIT AIRPORT,Split Airport,3.8,9743
